Date    ,Time    ,Latitude  ,Longitude ,Head,Km/h,Alt-m  ,Lock,  ,Temp C,Pa    ,
11/27/35,21:12:36,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.9,097119,
11/27/35,21:12:42,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.9,097113,
11/27/35,21:12:48,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.8,097108,
11/27/35,21:12:54,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.8,097105,
11/27/35,21:13:00,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.8,097108,
11/27/35,21:13:06,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.8,097106,
11/27/35,21:13:12,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.7,097116,
11/27/35,21:13:18,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.7,097108,
11/27/35,21:13:24,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.6,097099,
11/27/35,21:13:30,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.6,097115,
11/27/35,21:13:36,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.5,097106,
11/27/35,21:13:42,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.5,097116,
11/27/35,21:13:48,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.5,097104,
11/27/35,21:13:54,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.5,097118,
11/27/35,21:14:00,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.5,097116,
11/27/35,21:14:06,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097110,
11/27/35,21:14:12,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097114,
11/27/35,21:14:18,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097116,
11/27/35,21:14:24,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097108,
11/27/35,21:14:30,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097112,
11/27/35,21:14:36,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097109,
11/27/35,21:14:42,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097119,
11/27/35,21:14:48,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097103,
11/27/35,21:14:54,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097105,
11/27/35,21:15:00,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097111,
11/27/35,21:15:06,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097108,
11/27/35,21:15:12,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097114,
11/27/35,21:15:18,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.4,097115,
11/27/35,21:15:24,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097118,
11/27/35,21:15:30,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.5,097113,
11/27/35,21:15:36,+047.00218,-120.54021,0072,0000,+000501,0003,  ,+003.4,097115,
11/27/35,21:15:42,+047.00219,-120.54022,0072,0001,+000500,0003,  ,+003.5,097117,
11/27/35,21:15:48,+047.00218,-120.54022,0072,0000,+000501,0003,  ,+003.5,097116,
11/27/35,21:15:54,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.5,097111,
11/27/35,21:16:00,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.5,097105,
11/27/35,21:16:06,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.5,097116,
11/27/35,21:16:12,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.6,097116,
11/27/35,21:16:18,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.6,097111,
11/27/35,21:16:24,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.5,097111,
11/27/35,21:16:30,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.5,097104,
11/27/35,21:16:36,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.4,097104,
11/27/35,21:16:42,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097117,
11/27/35,21:16:48,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097123,
11/27/35,21:16:54,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097107,
11/27/35,21:17:00,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097115,
11/27/35,21:17:06,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.2,097122,
11/27/35,21:17:12,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097116,
11/27/35,21:17:18,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097115,
11/27/35,21:17:24,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097111,
11/27/35,21:17:30,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097104,
11/27/35,21:17:36,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097123,
11/27/35,21:17:42,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097115,
11/27/35,21:17:48,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097114,
11/27/35,21:17:54,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097113,
11/27/35,21:18:00,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097123,
11/27/35,21:18:06,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097105,
11/27/35,21:18:12,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097115,
11/27/35,21:18:18,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.3,097111,
11/27/35,21:18:24,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.4,097117,
11/27/35,21:18:30,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.4,097108,
11/27/35,21:18:36,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.4,097108,
11/27/35,21:18:42,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.4,097118,
11/27/35,21:18:48,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.4,097108,
11/27/35,21:18:54,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.4,097113,
11/27/35,21:19:00,+047.00219,-120.54022,0072,0000,+000501,0003,  ,+003.5,097115,
11/27/35,21:19:06,+047.00219,-120.54022,0072,0000,+000500,0003,  ,+003.5,097110,
11/27/35,21:19:12,+047.00219,-120.54022,0072,0000,+000500,0003,  ,+003.5,097110,
11/27/35,21:19:18,+047.00219,-120.54022,0072,0000,+000500,0003,  ,+003.5,097112,
11/27/35,21:19:24,+047.00219,-120.54022,0072,0000,+000500,0003,  ,+003.6,097108,
11/27/35,21:19:30,+047.00219,-120.54022,0072,0000,+000500,0003,  ,+003.6,097099,
11/27/35,21:19:36,+047.00219,-120.54022,0072,0000,+000500,0003,  ,+003.6,097105,
11/27/35,21:19:42,+047.00219,-120.54023,0072,0000,+000501,0003,  ,+003.6,097100,
11/27/35,21:19:48,+047.00218,-120.54023,0072,0000,+000501,0003,  ,+003.6,097111,
11/27/35,21:19:54,+047.00218,-120.54023,0072,0000,+000501,0003,  ,+003.6,097113,
11/27/35,21:20:00,+047.00218,-120.54023,0072,0000,+000500,0003,  ,+003.6,097109,
11/27/35,21:20:06,+047.00218,-120.54023,0072,0000,+000500,0003,  ,+003.6,097105,
11/27/35,21:20:12,+047.00218,-120.54023,0072,0000,+000501,0003,  ,+003.6,097097,
11/27/35,21:20:18,+047.00218,-120.54023,0072,0000,+000501,0003,  ,+003.6,097106,
11/27/35,21:20:24,+047.00218,-120.54023,0072,0000,+000500,0003,  ,+003.5,097099,
11/27/35,21:20:30,+047.00218,-120.54023,0072,0000,+000500,0003,  ,+003.5,097108,
11/27/35,21:20:36,+047.00218,-120.54024,0072,0000,+000500,0003,  ,+003.5,097112,
11/27/35,21:20:42,+047.00218,-120.54024,0072,0000,+000500,0003,  ,+003.5,097108,
11/27/35,21:20:48,+047.00218,-120.54024,0072,0000,+000500,0003,  ,+003.4,097112,
11/27/35,21:20:54,+047.00218,-120.54024,0072,0000,+000500,0003,  ,+003.3,097107,
11/27/35,21:21:00,+047.00218,-120.54024,0072,0000,+000500,0003,  ,+003.3,097111,
11/27/35,21:21:06,+047.00218,-120.54024,0072,0000,+000500,0003,  ,+003.3,097103,
11/27/35,21:21:12,+047.00218,-120.54024,0072,0000,+000500,0003,  ,+003.3,097101,
11/27/35,21:21:18,+047.00218,-120.54023,0072,0000,+000500,0003,  ,+003.3,097112,
11/27/35,21:21:24,+047.00220,-120.54022,0072,0001,+000500,0003,  ,+003.3,097112,
11/27/35,21:21:30,+047.00222,-120.54021,0072,0000,+000502,0003,  ,+003.3,097111,
11/27/35,21:21:36,+047.00222,-120.54022,0072,0000,+000504,0003,  ,+003.3,097109,
11/27/35,21:21:42,+047.00225,-120.54024,0072,0000,+000505,0003,  ,+003.3,097112,
11/27/35,21:21:48,+047.00224,-120.54025,0072,0000,+000506,0003,  ,+003.3,097119,
11/27/35,21:21:54,+047.00223,-120.54025,0072,0000,+000506,0003,  ,+003.3,097101,
11/27/35,21:22:00,+047.00223,-120.54025,0072,0000,+000506,0003,  ,+003.3,097105,
11/27/35,21:22:06,+047.00223,-120.54025,0072,0000,+000506,0003,  ,+003.2,097110,
11/27/35,21:22:12,+047.00222,-120.54024,0072,0000,+000505,0003,  ,+003.3,097117,
11/27/35,21:22:18,+047.00222,-120.54024,0072,0000,+000505,0003,  ,+003.3,097106,
11/27/35,21:22:24,+047.00222,-120.54024,0072,0000,+000505,0003,  ,+003.3,097107,
11/27/35,21:22:30,+047.00222,-120.54023,0072,0000,+000504,0003,  ,+003.3,097114,
11/27/35,21:22:36,+047.00222,-120.54023,0072,0000,+000504,0003,  ,+003.3,097112,
11/27/35,21:22:42,+047.00222,-120.54023,0072,0000,+000504,0003,  ,+003.3,097113,
11/27/35,21:22:48,+047.00222,-120.54023,0072,0000,+000504,0003,  ,+003.3,097118,
11/27/35,21:22:54,+047.00222,-120.54023,0072,0000,+000504,0003,  ,+003.3,097114,
11/27/35,21:23:00,+047.00222,-120.54023,0072,0000,+000504,0003,  ,+003.3,097109,
11/27/35,21:23:06,+047.00222,-120.54023,0072,0000,+000504,0003,  ,+003.3,097113,
11/27/35,21:23:12,+047.00222,-120.54023,0072,0000,+000504,0003,  ,+003.4,097113,
11/27/35,21:23:18,+047.00222,-120.54023,0072,0000,+000504,0003,  ,+003.4,097114,
11/27/35,21:23:24,+047.00222,-120.54023,0072,0000,+000504,0003,  ,+003.4,097120,
11/27/35,21:23:30,+047.00221,-120.54023,0072,0000,+000504,0003,  ,+003.4,097109,
11/27/35,21:23:36,+047.00221,-120.54023,0072,0000,+000503,0003,  ,+003.4,097111,
